stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,Se olisi gjrpgt hienoa.,0,0,Shift_L,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,125,1,S,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,374,2,e,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,779,3,space,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,1029,4,o,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,1217,5,l,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,1434,6,i,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,1559,7,s,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,1746,8,i,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,2309,9,space,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,3556,10,g,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,4337,11,j,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,5210,12,r,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,5429,13,p,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,6894,14,g,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,7114,15,t,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,7519,16,space,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,7737,17,h,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,7831,18,i,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,7986,19,e,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,8143,20,n,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,8268,21,o,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,8393,22,a,Se olisi gjrpgt hienoa.
0,Se olisi gjrpgt hienoa.,8674,23,period,Se olisi gjrpgt hienoa.
1,Lähettäisitkö bnadtv minulle sähköpostia?,0,0,Shift_L,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,93,1,L,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,529,2,adiaeresis,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,842,3,h,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,967,4,e,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,1153,5,t,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,1278,6,t,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,1372,7,adiaeresis,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,1621,8,i,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,1746,9,s,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,1934,10,i,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,2152,11,t,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,2277,12,k,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,2589,13,odiaeresis,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,3026,14,space,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,3649,15,b,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,3993,16,n,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,4243,17,a,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,4991,18,d,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,5241,19,t,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,5460,20,v,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,5771,21,space,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,5958,22,m,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,6083,23,i,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,6270,24,n,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,6426,25,u,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,6645,26,l,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,6769,27,l,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,6832,28,e,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,7050,29,space,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,7175,30,s,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,7393,31,adiaeresis,Lähettäisitkö bnadtv minulle sähköpostia?
1,Lähettäisitkö bnadtv minulle sähköpostia?,7955,32,h,Lähettäisitkö bnadtv minulle sähköpostia?
