stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,I am on hyohcy my way.,0,0,Shift_L,I am on hyohcy my way.
0,I am on hyohcy my way.,61,1,I,I am on hyohcy my way.
0,I am on hyohcy my way.,311,2,space,I am on hyohcy my way.
0,I am on hyohcy my way.,717,3,a,I am on hyohcy my way.
0,I am on hyohcy my way.,810,4,m,I am on hyohcy my way.
0,I am on hyohcy my way.,967,5,space,I am on hyohcy my way.
0,I am on hyohcy my way.,1715,6,o,I am on hyohcy my way.
0,I am on hyohcy my way.,2120,7,n,I am on hyohcy my way.
0,I am on hyohcy my way.,2245,8,space,I am on hyohcy my way.
0,I am on hyohcy my way.,4024,9,h,I am on hyohcy my way.
0,I am on hyohcy my way.,4180,10,y,I am on hyohcy my way.
0,I am on hyohcy my way.,4616,11,o,I am on hyohcy my way.
0,I am on hyohcy my way.,6988,12,h,I am on hyohcy my way.
0,I am on hyohcy my way.,8080,13,c,I am on hyohcy my way.
0,I am on hyohcy my way.,8299,14,y,I am on hyohcy my way.
0,I am on hyohcy my way.,8579,15,space,I am on hyohcy my way.
0,I am on hyohcy my way.,9109,16,m,I am on hyohcy my way.
0,I am on hyohcy my way.,9391,17,y,I am on hyohcy my way.
0,I am on hyohcy my way.,9608,18,space,I am on hyohcy my way.
0,I am on hyohcy my way.,9952,19,w,I am on hyohcy my way.
0,I am on hyohcy my way.,10171,20,a,I am on hyohcy my way.
0,I am on hyohcy my way.,10388,21,y,I am on hyohcy my way.
0,I am on hyohcy my way.,10981,22,period,I am on hyohcy my way.
1,Can you ougkww help me here?,0,0,Shift_L,Can you ougkww help me here?
1,Can you ougkww help me here?,62,1,C,Can you ougkww help me here?
1,Can you ougkww help me here?,344,2,a,Can you ougkww help me here?
1,Can you ougkww help me here?,437,3,n,Can you ougkww help me here?
1,Can you ougkww help me here?,593,4,space,Can you ougkww help me here?
1,Can you ougkww help me here?,812,5,y,Can you ougkww help me here?
1,Can you ougkww help me here?,904,6,o,Can you ougkww help me here?
1,Can you ougkww help me here?,1154,7,u,Can you ougkww help me here?
1,Can you ougkww help me here?,1373,8,space,Can you ougkww help me here?
1,Can you ougkww help me here?,2371,9,o,Can you ougkww help me here?
1,Can you ougkww help me here?,2684,10,u,Can you ougkww help me here?
1,Can you ougkww help me here?,4275,11,g,Can you ougkww help me here?
1,Can you ougkww help me here?,4743,12,k,Can you ougkww help me here?
1,Can you ougkww help me here?,5741,13,w,Can you ougkww help me here?
1,Can you ougkww help me here?,5897,14,w,Can you ougkww help me here?
1,Can you ougkww help me here?,6615,15,space,Can you ougkww help me here?
1,Can you ougkww help me here?,6896,16,h,Can you ougkww help me here?
1,Can you ougkww help me here?,7083,17,e,Can you ougkww help me here?
1,Can you ougkww help me here?,7332,18,l,Can you ougkww help me here?
1,Can you ougkww help me here?,7457,19,p,Can you ougkww help me here?
1,Can you ougkww help me here?,7676,20,space,Can you ougkww help me here?
1,Can you ougkww help me here?,7832,21,m,Can you ougkww help me here?
1,Can you ougkww help me here?,7925,22,e,Can you ougkww help me here?
1,Can you ougkww help me here?,7988,23,space,Can you ougkww help me here?
1,Can you ougkww help me here?,8175,24,h,Can you ougkww help me here?
1,Can you ougkww help me here?,8300,25,e,Can you ougkww help me here?
1,Can you ougkww help me here?,8456,26,r,Can you ougkww help me here?
1,Can you ougkww help me here?,8549,27,e,Can you ougkww help me here?
1,Can you ougkww help me here?,9672,28,Shift_L,Can you ougkww help me here?
1,Can you ougkww help me here?,9922,29,underscore,Can you ougkww help me here?
1,Can you ougkww help me here?,10640,30,BackSpace,Can you ougkww help me here?
1,Can you ougkww help me here?,10858,31,Shift_L,Can you ougkww help me here?
1,Can you ougkww help me here?,10952,32,colon,Can you ougkww help me here?
1,Can you ougkww help me here?,11669,33,BackSpace,Can you ougkww help me here?
1,Can you ougkww help me here?,12231,34,Shift_L,Can you ougkww help me here?
1,Can you ougkww help me here?,12356,35,question,Can you ougkww help me here?
2,What do zfcspx you hear?,0,0,Shift_L,What do zfcspx you hear?
2,What do zfcspx you hear?,93,1,W,What do zfcspx you hear?
2,What do zfcspx you hear?,530,2,h,What do zfcspx you hear?
2,What do zfcspx you hear?,655,3,a,What do zfcspx you hear?
2,What do zfcspx you hear?,749,4,t,What do zfcspx you hear?
2,What do zfcspx you hear?,935,5,space,What do zfcspx you hear?
2,What do zfcspx you hear?,1092,6,d,What do zfcspx you hear?
2,What do zfcspx you hear?,1185,7,o,What do zfcspx you hear?
2,What do zfcspx you hear?,1404,8,space,What do zfcspx you hear?
2,What do zfcspx you hear?,2152,9,z,What do zfcspx you hear?
2,What do zfcspx you hear?,2464,10,f,What do zfcspx you hear?
2,What do zfcspx you hear?,3369,11,c,What do zfcspx you hear?
2,What do zfcspx you hear?,4305,12,s,What do zfcspx you hear?
2,What do zfcspx you hear?,4805,13,p,What do zfcspx you hear?
2,What do zfcspx you hear?,5740,14,x,What do zfcspx you hear?
2,What do zfcspx you hear?,5927,15,space,What do zfcspx you hear?
2,What do zfcspx you hear?,6208,16,y,What do zfcspx you hear?
2,What do zfcspx you hear?,6302,17,o,What do zfcspx you hear?
2,What do zfcspx you hear?,6552,18,u,What do zfcspx you hear?
2,What do zfcspx you hear?,6832,19,space,What do zfcspx you hear?
2,What do zfcspx you hear?,7644,20,h,What do zfcspx you hear?
2,What do zfcspx you hear?,7799,21,e,What do zfcspx you hear?
2,What do zfcspx you hear?,8080,22,a,What do zfcspx you hear?
2,What do zfcspx you hear?,8205,23,r,What do zfcspx you hear?
2,What do zfcspx you hear?,8704,24,Shift_L,What do zfcspx you hear?
2,What do zfcspx you hear?,8829,25,question,What do zfcspx you hear?
3,Do you cxwxyz need it today?,0,0,Shift_L,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,30,1,D,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,375,2,o,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,562,3,space,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,842,4,y,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,935,5,o,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,1122,6,u,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,1342,7,space,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,1467,8,n,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,1715,9,e,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,1871,10,e,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,2059,11,d,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,2152,12,space,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,3993,13,BackSpace,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,4149,14,BackSpace,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,4305,15,BackSpace,Do you cxwxyz need it today?
3,Do you cxwxyz need it today?,4430,16,BackSpace,Do you cxwxyz need it today?
